Customer ID,Monetary,Recency,Frequency
12346.0,-51.74000000000524,326.0,12.0
12347.0,4921.53,2.0,8.0
12348.0,2019.4,75.0,5.0
12349.0,4404.54,19.0,4.0
12350.0,334.4,310.0,1.0
12351.0,300.93,375.0,1.0
12352.0,1889.21,36.0,10.0
12353.0,406.76,204.0,2.0
12354.0,1079.4,232.0,1.0
12355.0,947.61,214.0,2.0
12356.0,6371.73,23.0,6.0
12357.0,18287.66,33.0,3.0
12358.0,3887.07,2.0,5.0
12359.0,8652.34,58.0,10.0
12360.0,4212.89,52.0,8.0
12361.0,511.25,287.0,4.0
12362.0,5284.58,3.0,11.0
12363.0,552.0,110.0,2.0
12364.0,1313.1,8.0,4.0
12365.0,320.69,291.0,2.0
12366.0,500.24,634.0,1.0
12367.0,168.9,4.0,1.0
12368.0,917.6999999999999,628.0,1.0
12369.0,1791.15,413.0,3.0
12370.0,4316.56,51.0,7.0
12371.0,4067.38,45.0,5.0
12372.0,1298.04,72.0,3.0
12373.0,1127.65,311.0,3.0
12374.0,2989.2200000000003,25.0,4.0
12375.0,455.42,11.0,2.0
12376.0,503.15,390.0,2.0
12377.0,3426.32,315.0,4.0
12378.0,5416.32,130.0,2.0
12379.0,1618.27,82.0,4.0
12380.0,7888.0,22.0,11.0
12381.0,1803.96,5.0,5.0
12383.0,1839.31,185.0,5.0
12384.0,566.16,29.0,2.0
12385.0,1923.4,379.0,1.0
12386.0,401.9,338.0,2.0
12387.0,143.94,415.0,1.0
12388.0,3901.11,16.0,8.0
12389.0,1433.33,403.0,3.0
12390.0,549.84,80.0,1.0
12391.0,2699.24,22.0,6.0
12392.0,234.75000000000003,591.0,1.0
12393.0,2376.75,72.0,6.0
12394.0,1272.48,64.0,2.0
12395.0,4700.82,19.0,15.0
12396.0,931.43,674.0,1.0
12397.0,2409.9,36.0,2.0
12398.0,1635.6599999999999,46.0,1.0
12399.0,1962.3,119.0,7.0
12400.0,205.25,414.0,1.0
12401.0,84.3,303.0,1.0
12402.0,1244.15,323.0,6.0
12403.0,1001.36,50.0,2.0
12404.0,63.24,682.0,1.0
12405.0,1710.39,149.0,1.0
12406.0,6072.21,22.0,5.0
12407.0,1708.1200000000001,50.0,5.0
12408.0,4279.64,33.0,8.0
